회사,사업자등록번호,업종,사원수(명),매출규모(억),주소(도로명 주소),웹사이트 주소,기업소개 및 기업규모,담당업무,지원요건,채용인원,제출서류,서류제출 마감일,기타
오브젠 주식회사, 120-86-04696, 소프트웨어개발 및 공급업, 183, 200," 서울특별시 영등포구 여의대로 14, 12층 (여의도동, KT여의도 타워)"," <a href=""http//www.obzen.com"" target=""_blank"">http//www.obzen.com</a>", 세부정보 작성하여 메일로 송부드리겠습니다., 응용SW개발자 (상세내용 메일 송부)," Java , SQL 기본지식 보유자1",응용SW개발자 0명1," 이력서, 자기소개서, 포트폴리오1"," 10.31(월) 11시15.복리후생 스톡옵션, 인센티브 제도 운영 · 특진제도 (업무능력에 따라 조기 승진제도 운영) · 기업보장보험 가입 · 저녁식대 및 심야 교육비 지급 · 사내추천 채용제도 운영 (추천인재 채용 시 인센티브 지급) · 웸컴키트 제공 · 도서구입비 지원 · 경조금 지원 · 생일축하금10만원 지급 · 연말케이크 구입 비용 5만원 지원 · 휴게실, 카페테리아 운영 · 복지플랫폼 운영 (자기개발비, 명절 복지포인트 지급)· 간식제공 · IT 전문교육 실시"
(주)테르텐, 120-86-07238, 정보보호SW 개발 및 공급, 30, 41," 서울특별시 구로구 디지털로26길 61, 602호"," <a href=""http//www.teruten.com"" target=""_blank"">www.teruten.com</a>", 중소벤쳐기업,"웹서버 개발[보안솔루션 통합 관리자 개발 및 유지보수(Java, jstl,javascript, JQuery 등)], 마케팅디자인[제품소개서 등 홍보문서,전시회 운영, 키워드 광고, SNS 등 온라인 매체 운영(포토샵, 프리미어 등)]","웹개발자  관련학과 전공자, java 등을 사용한 개발 경험자, 마케팅디자인  문서 작성 및 프리젠테이션 능력 우수자, 디자인 업무가능자, 커뮤니케이션 스킬 능통자1"," 웹개발자 분야 1명, 마케팅디자인 분야 1명1"," 이력서, 자기소개서, 포트폴리오1", 10.27(목) 11시1,"각종 경조금, 장기근속자 포상금, 우수사원 포상금복리후생 교육비(도서구입비 등), 건강검진, 휴게실, 사내도서관, 샤워실,사내동호회 운영"
주식회사 소프트파워, 220-87-35690," 소프트웨어자문, 개발 및 공급", 29, 10, 서울시 마포구 성암로 330 DMC첨단산업센터 B동 8층," <a href=""http//www.smartmaker.com"" target=""_blank"">www.smartmaker.com</a>", 웹 개발자(front-end 또는 back-end) 및 디자이너(영상 또는 앱 디자인)1,각 분야 최대 2명1," 이력서, 자기소개서, 포트폴리오1",10.24(월) 11시
(주)7일, 263-87-02139, 소프트웨어 개발, 7, 10, 서울시 강남구 역삼로175 현승빌딩 5층," <a href=""http//www.havest.kr"" target=""_blank"">www.havest.kr</a>","IT를 이용한 한의학의 확산을 목표로 비대면 강의, 전통지식 검색서비스등의 웹서비스를 개발, 운영하는 스타트업(중소기업)입니다. 2021년 1월 창업하여 벤처인증, 연구소인증을 받았으며, 서울대학교 기술지주의 투자를 유치하였습니다. 중소벤처기업부의TIPS 과제에 선정되어 지원을 받고 있습니다. 현재 주된 고객층은 대한민국 한의사이며, 연말 해외서비스를 런칭할 계획입니다."," Restful API를 사용한 Web application Front-end 개발(Javascript, Angular 사용)"," HTML, REST에 대한 이해, python 경험 우대, Angular 사용경험우대1",웹애플리케이션 개발 2명1," 이력서, 자기소개서, 포트폴리오(선택)1", 10.21(금)1,"복리후생 교육비 지원, 한약 지원 등"
네오뉴트라주식회사, 201-81-91103, 임상CRO, 62, 47, 서울시 종로구 대학로 44 우일빌딩4층," <a href=""http//www.neonutra.com"" target=""_blank"">www.neonutra.com</a>","2005년 3월에 설립된 네오뉴트라(주)는 기능성원료의 인체적용(임상)시험과 인허가 전문CRO(Contract Research Organization)로서 국내에서 가장 오래된 경험과 노하우(Know-how)를 가지고있으며, 건강기능식품 CRO분야에서 우위를 지켜나가고 있습니다.", 사내전산관리, 컴퓨터기본용어/기타컴퓨터관련자격증 우대1,사내전산관리1명1," 이력서,자기소개서1", 10.20 목요일1,"복리후생 식대별도, 시차출퇴근제등"
주식회사 레플러스, 848-87-00096, 기술서비스업, 16, 15," 서울시 광진구 능동로279 5층,실로암빌딩"," <a href=""http//www.repul.net/"" target=""_blank"">http//www.repul.net/</a>"," 중소기업, 기술혁신형중소기업(이노비즈)"," 웹디자인, 편집디자인, 프론트엔드 개발1","디자인 분야 1명, 개발 분야 1명1"," 이력서, 자기소개서, 포트폴리오1"," Oct 14, 202215.기타 급여(수당) 식비 별도 지급"
하나제약(주), 124-81-37632, 제조, 663, 1900," 서울특별시 강남구 테헤란로 407, EK타워 10층"," <a href=""http//www.hanaph.co.kr/index.do"" target=""_blank"">http//www.hanaph.co.kr/index.do</a>",중견기업,영업부 매출 관리 및 영업 활동 지원, 성적우수자 및 성실하고 꼼꼼한 성격 보유자1,1명1," 이력서, 자기소개서1"," Oct 11, 20221","복리후생 식대 일 8,000원"
(주)강원엔티에스, 118-81-09811, 설비, 20, 350," 서울시 금천구 가산디지털1로 145, 805"," <a href=""http//www.kwnts.co.kr"" target=""_blank"">www.kwnts.co.kr</a>", 사세 확장에 따라 영업관리 인원모집으로 많은 지원 바랍니다, 영업지원 (영업부 업무 지원)," OA 능숙자,1",영업지원 2명1," 이력서, 자기소개서1"," 10.11 오전 11시, 20221",복리후생 통신비 지원 등
주식회사 에스씨엠솔루션, 845-81-01186, 소프트웨어개발 및 공급업, 7, 10," 서울시 영등포구 의사당대로83, 5층 105호"," <a href=""http//www.sellerline.co.kr"" target=""_blank"">www.sellerline.co.kr</a>","이커머스 판매자 매출현황 분석을 통한 공급망 금융 서비스(국내금융사 연계, 서비스 로직 개발), (중소기업, 벤처인증 기업, 기업부설연구소, 2019코리아핀테크위크 혁신상 수상 등)"," 웹 개발(JAVA, spring boot) / 웹디자인(UI/UX)"," 개발  aws, java, spring boot, maria DB / 디자인  figma, adobe1",개발 1~2명 / 디자인 1~2명1," 이력서, 자기소개서, 포트폴리오, github1"," Sep 28, 20221","복리후생 식비, 교통비, 도서구입비,학점은행제 교육비 지원"
(주)티스퀘어, 109-86-33286, 소프트웨어 개발, 33, 21, 서울 서초구 반포대로24길 20," <a href=""http//t-square.co.kr/"" target=""_blank"">http//t-square.co.kr/</a>",중소기업국내 유명 커머스/IT 서비스/인포테인먼트 등의 분야에서 자동화테스트를 포함한 QA 운영 업무를 수행하고 있으며이를 바탕으로 다양한 분야의 비지니스 영역에 도전해 나가고 있습니다.사세 확장으로 인하여 테스트 엔지니어를 모집하고 있습니다., 소프트웨어 테스터(QA), 컴퓨터 엑셀 사용가능하고 업무 이해력이 있으면 좋습니다.1,소프트웨어 테스터(QA) 00명1," 이력서,자기소개서1", 9.26(월)11TL1,"기타 급여(수당) 퇴직금 별도 지급(연급여에 포함 안됨)복리후생 ㆍ명절 선물 / 생일 또는 결혼기념일 선물 / 입사 축하 선물(기프티콘) ㆍ경조사 지원 (유급휴가, 경조금, 화환) ㆍ장기근속자 포상(3년,6년,10년,15년) ㆍ자격증 취득시 응시료 지원 ㆍ프로젝트친목도모 운영비 지급 (회식, 카페 등 다양하게 사용) ㆍ자녀 초,중,고 입학 축하금 ㆍ자유로운 연차사용 ㆍ연장, 야간 근로 시 식비 및 교통비 지원 / 휴일근무 시 식비 및 대체휴가 지급 ㆍ간식과음료수 제공 ㆍ네스프레소 커피머신으로 내린 향긋한 커피 제공ㆍ생일당일 유급휴가 ㆍ매월 럭키데이 진행으로 소소한 경품지급"
라온시큐어(주), 138-81-16484," 정보통신업, 소프트웨어 공급 및 개발", 290, 380," 서울시 강남구 테헤란로 145, 13~18층 지하철 2호선 역삼역 4번출구"," <a href=""http//www.raonsecure.com"" target=""_blank"">www.raonsecure.com</a>","“make IT fun and secure, RAON”사회 전반을 아우르는 디지털화와 비대면 사회로의 전환으로 인해, 진화하는 보안위협에 선제적으로 대응하고 디지털 세상에서보다 안전하게 신원을 증명하는 일이 그 어느때보다 중요해지고있습니다.라온은 기술의 발전이 가져오는 변화가 모든 이들에게 즐거움으로 다가갈 수 있도록 항상 고민합니다.‘라온’이라는 이름이 뜻하는 바처럼, 우리의 목표는 급격한 변화속에서도 모두가 즐겁고 안전한 IT세상을 만들어 나가는 것입니다.라온은 국내 최고의 모바일 보안 솔루션과 FIDO 생체인증 기술로 모바일 보안, 사물 인터넷 통합보안 시장을 선도하고 있는 ‘라온시큐어(RaonSecure)’와 최정예 화이트해커 연구진 및 블록체인 기술진을 중심으로 화이트햇 컨설팅 서비스, 모바일 보안 인증서비스, 블록체인 DID 서비스 등 차세대 통합보안인증 서비스를제공하는 ‘라온화이트햇(RaonWhiteHat)’ ,차세대 IT보안 클라우드 리더 ‘라온에스엔씨(RaonSNC)’, 그리고생체인증과 블록체인 기술로 글로벌 시장을 열어가는 미국 실리콘밸리의 ‘디지털 트러스트 네트웍스(Digital Trust Networks)’외라온 싱가포르, 라온 홍콩, 라온 재팬을 통해 IT 보안 및 인증 산업의 미래를 만들어가고 있습니다."," 자사 PC웹, 모바일 보안솔루션 구축 기술지원","- 웹 기반 소프트웨어 기술 지원 경험 보유하신 분 - 웹 개발언어(Java, JSP, HTML, x-javascript 등)의 기본 개념 보유하신 분 -VueJS, React, Jquery 등 Front 환경 기술에 이해도 보유하신 분1",00명1," 이력서, 자기소개서, 포트폴리오1", 9.26(월)1,"면접 1차, 2차 종료 후 즉시 채용1"
(주)씨아이피시스템, 214-87-02743," IT (웹, 모바일 소프트웨어 개발)", 30, 50, 서울시 금천구 가산디지털1로 219 벽산디지털밸리 6차 512호," <a href=""http//www.cipsystem.co.kr"" target=""_blank"">www.cipsystem.co.kr</a>","당사는 1999년 S/W개발업체로 출발하여 다양한 분야에서 SI 및S/W패키지를 개발하여 보급하고 있습니다.다양한 비즈니스 분야에서 IT기술을 접목하여 활용할 수 있는 적합한 솔루션 발굴 및 보급에 주력하고 있으며, 특히 Green IT관련신재생 에너지와 모바일솔루션 분야 진출을 통한 미래 신성장 동력 창출에 노력하고 있는기업입니다."," 웹 개발 (java, spring, html, css, javascript, jquery, ...)모바일 개발 (html, css, javascript, java, swift, ...)", 이해력이 높고 대인관계가 원만하면 좋겠습니다.1,"웹 개발 2명, 모바일 개발 2명1"," 자기소개서, 포트폴리오(필수아님)1", 9.19 오전 11시1,복리후생 연 1회 성과급 /업무와 관련된 도서구입비
람다256, 694-86-01434," 소프트웨어 개발 및 공급(블록체인, NFT)", 80, 48," 서울특별시 영등포구 의사당대로 83, 4,5,6,8,17,19층 서울핀테크렙"," luniverse.io, cyphrly.io","업비트 운영사이자 글로벌 디지털 자산 거래소로 성장하고 있는두나무, 그 두나무 그룹에서 블록체인 기술을 책임지고 있는 자회사 람다 256은 설립 3년 만에 누적 1,000억원이 넘는 투자를 유치하면서 아시아 최고의 블록체인 유니콘 기업으로 성장하였습니다. 우리는 3,000여 고객들과 수백만 크립토 유저들과 함께해온 그 가슴 벅찬 여정을 통해서 NFT야 말로 엔터테인먼트 컨텐츠산업 전반에 엄청난 변화를 가져올 기술이라는 확신을 얻었습니다.하지만 NFT 특성상 블록체인 기술과 예술적 창의성이 모두 필요한 영역임에도 불구하고 두 가지 역량을 모두 가진 팀이 전세계적으로 얼마 없다는 사실도 깨달았습니다. 그리고 우리는 람다256의 기술과 한국 대중문화의 힘이라면 글로벌에서 Pixar와 같은 위대한 기업을 만들 수 있다는 확신을 얻게 되었습니다. 이제 람다256 최고의 NFT 전문가들이 CYPHRLY라는 새로운 스타트업으로 메타버스와 Web3 항해를 위한 돛을 펼치고 나아갑니다.","NFT Web service Developer[]NFT 마켓플레이서 서비스 시스템 개발[주요기술스텍]프론트엔드  HTML, CSS, JavaScript, React, Next.js,TypeScript, SEO, Vue백엔드  Node.js, Nest.js, Typescript, TypeORM, MySQL인프라  AWS, Docker, Ansible, Kubernetes", 성장 마인드셋(growth mindset)과 항상 공부하고 성장하려는 의지가 있는 분1, 이력서 및 자기소개서(자유양식)1,9.7(수) 오전 11시1,식비 별도 지급1,"복리후생 야근택시비 지원, 중식비 지원(월 22만원), 업무용 도서 및 교육/연수비 지원, 재택근무(주 2회)"
(주)하이컴텍, 134-86-34961, 프로그램개발, 18, 24, 서울시 금천구 가산디지털1로145," <a href=""http//web8591.co.kr/"" target=""_blank"">http//web8591.co.kr/</a>"," <a href=""http//web8591.co.kr/"" target=""_blank"">http//web8591.co.kr/</a>"," 웹개발, 응용프로그램개발, C#, C++, PB1"," 이력서, 자기소개서, 포트폴리오1", 9.131,"식비 별도 지급   15.복리후생 중소기업복지몰, 간식"
드림소프트웨어(주), 214-86-28412, 소프트웨어개발/IT, 46, 44," 서울특별시 서초구 반포대로96, 석정빌딩 5층"," <a href=""http//www.dreamsoftware.co.kr"" target=""_blank"">www.dreamsoftware.co.kr</a>", 메일로 회사 소개 자료 및 기타 자료 보내드립니다.," 고객지원(CS) / 품질관리(QA) , 필수 언어는 없으나 자바를 간접적으로 접해 보았으면 큰 도움이 됩니다"," MS Office, 책임감, 커뮤니케이션 역량1",QA 2명 / CS 2명1, 이력서(자유양식)1, 9.6(화) 오전 11시1,복리후생 도서구입비 지원     
(주)테라젠이텍스, 133-81-22943, 의약품(제약), 176, 650, 서울시 서초구 강남대로190(양재동) 대관빌딩 5층," <a href=""http//www.etexpharm.co.kr/main/"" target=""_blank"">http//www.etexpharm.co.kr/main/</a>", PDF 전송, 영업관리 사무직(영업직원 실적 현황 데이터 및 자료 입력_엑셀), 고등학교 졸업자1,영업관리 사무직 2명1," 이력서, 자기소개서1", 9.1 11시1,"식비 별도 지급  명절, 근로자의 날 선물 등 비정기적 상여"
애드워드, 1208702467, 광고 대행, 9, 64, 서울시 강남구 테헤란로 410 금강타워 19층 애드워드," <a href=""http//www.addward.com"" target=""_blank"">www.addward.com</a>","삼성화재, AIG, 교보생명, 롯데관광, 코오롱 등 국내 초일류 기업에 디지털마케팅 서비스를 제공하고 있습니다.- 네이버 1기 공식대행사이며 업력 15년의 중소기업으로, 디지털마케팅 업계 특히 금융 및 라이프스타일 영역에 전문성을 보유한회사입니다."," 자사 솔루션 개발 / 개발, 런칭 관련 기획 업무 및 광고 업무", 문서 작성 능력 우대1,11," 이력서, 자기소개1", 9.1 11시15 기타 급여(수당) 퇴직금 별도 지급(연급여에 포함 안됨) 자격증 수당1,"복리후생 도서구입지원비, 매주 수요일 점심 2시간 및 1인 식대 15,000원 지원, 매주 금요일 3시 조기퇴근, 반/연차, 간식제공"
(주)이나인페이 ,119-86-00332 ,금융 ,57 ,242 ,"서울시   관악구 남부순환로 1793, 803호 (봉천동, 백광빌딩) ","웹사이트   주소<a href=""http//www.e9pay.co.kr"" target=""_blank"">www.e9pay.co.kr</a> ","기업소개   및 기업규모 (주)이나인페이 당사는 관악구 봉천동에서 금융업을 영위하고 있는 중기업으로서, 소액해외송금업, 전자금융업(PG), 항공권발권대행, 선불폰 충전등 금융지원 서비스를 내·외국인을 대상으로 제공하고   있습니다. ",가입   고객의 정보 확인 및 운영 업무 전반 (채용부서 자금세탁방지부) 1,3~5명 1,"이력서, 자기소개서 1",서류제출   마감일8.25(목)
기업명(사업자등록증)(주)엠온아이앤씨, 686-87-01745," 정보통신업, 기술서비스업", 7, 7, 서울시 금천구 두산로 70 현대지식산업센터 A1112호,"<a href=""http//www.m-on.co.kr"" target=""_blank"">www.m-on.co.kr</a>","중소기업입니다.소프트웨어 컨설팅 전문 기업으로 Microsoft Teams, Azure 등Cloud Solution을 바탕으로 대기업 및 개발사, 제조 서비스, IT 전문 기업체, 교육기관 등에 활용되는 다양한 Solution을 제공하며,보다 효율적인 비즈니스 환경을 구축하여 업무 프로세스를 체계적으로 최적화할 수 있도록 지원하는 IT 컨설팅 전문 업체 입니다.Microsoft사와의 긴밀한 협력으로 최고레벨의 MS공식인증 엔지니어 및 IT Consultant 를 비롯한 교육 전문강사 등을 보유하고있으며, 전문 Helpdesk의 운영으로 고객의 다양한 수요만족과 보다 광범위한 서비스제공을 위해 최선의 노력을 하고 있습니다.","비대면 협업 솔루션인 MS팀즈(Teams) 사용 문의 응대, Microsoft365(Office 365) 사용 문의 응대, 그룹사 임직원들에 대한 마이크로소프트 제품의 IT헬프데스크입니다.", 컴퓨터에 관심1,IT헬프데스크 1명1," 이력서, 자기소개서, 생활기록부1", 8.25
(주)아이티빌리지, 128-86-86256, 소프트웨어자문개발/공급, 7, 9, 서울시 영등포구 양산로 91 리드원 지식산업센터 1118호," <a href=""http//itvillage.co.kr/"" target=""_blank"">http//itvillage.co.kr/</a>","아이티빌리지는 리테일테크 전문 기업으로 클라우드를 기반으로한 소프트웨어 서비스 개발 및 운영, 하드웨어를 공급하고 있습니다.자사 웹 어플리케이션인 EVS는 홈플러스에서 사용 중인 서비스로, 홈플러스와 소매 거래처 간 발주와 전반적인 유통 관련 서비스를 제공하고 있습니다.","자사 웹 어플리케이션 EVS 개발 및 운영, 개선 작업Java, Spring Framework, jsp, css, java script, jquery, oracle,mssql, git 사용.","Java, Spring Framework, oracle에 대한 이해 및 사용 경험HTML, CSS, JavaScript에 대한 충분한 이해 주어진 역할에 대해 책임감 있게 업무를 수행하실 수 있는 분1",11," 이력서, 자기소개서, 포트폴리오1","복리후생 자유로운 휴가 사용, 야근 교통비, 간식비 지원, 명절 선물 제공 및 조기퇴근     파일이름"
한양증권(주), 116-81-15073, 금융, 523, 8800, 서울특별시 영등포구 국제금융로6길 7(여의도동)," IT부서  사무행정(워드, 엑셀, 컴퓨터 활용능력)1",2명1," 이력서, 자기소개서, 생활기록부, 성적백분율1", 8.18(목)오전 11시
미림미디어랩 주식회사, 119-86-61402, e러닝 콘텐츠 개발 등, 63, 96, 서울 마포구 매봉산로 37 DMC산학협력연구센터 1006호," <a href=""http//www.mirimmedialab.co.kr"" target=""_blank"">www.mirimmedialab.co.kr</a>", 중기업 / 벤처기업 인증 / 기술혁신형중소기업(이노비즈) / 하이서울기업, e-learning LMS 유지보수 및 신규 기능 개발 / IT 교육 과정 개발참여,"[필수] HTML, CSS, Javascript 원활한 활용 // [우대] React 사용경험 / 웹표준, 웹 접근성을 고려한 UI 개발 / Jsp, MySql, Linux에대한 지식 보유 / python에 대한 지식 보유1",3명1," 이력서, 자기소개서, 포트폴리오1",서류제출 8.16 화요일11시1,복리후생 (정규직) 생일상품권 / 명절상품권 / 연말상품권 / 도서지원비 / 교육지원비 / 경조휴가 / 경조사비 등
주식회사 쉐어밸류, 750-86-00899, 소프트웨어 개발 및 공급, 6, 1," 서울시 중구 무교로 15, 1805호"," <a href=""http//www.sharevaluecorp.com"" target=""_blank"">www.sharevaluecorp.com</a>","쉐어밸류는 개발과 운영 인프라의 진입장벽이 없는 항공예약SaaS 솔루션을 개발하여 공급하고 있습니다. 기업 규모는 소기업이며 벤처기업인증, 2020년 한국관광공사 관광벤처기업 선정,2021년 한국관광공사 여행업 디지털전환사업의 기술인프라 공급기업입니다.", 실시간 항공예약 서비스 Front-End 개발 및TypeScript와 Vue.js 사용하고 있습니다., TypeScript 와 Vue.js 를 학습했거나 사용한 경험1,소프트웨어 개발 2명1," 이력서, 포트폴리오 제출1", 8.5 (금)1,"성과급은 1년이상 근무 시 대상중식비 10만원 복리후생 교육비, 도서구입비, 세미나참석비"
